,pk_cid,short_term_deposit,funds,securities,long_term_deposit,have_inversion_products,propensity_score,propensity_segment
0,1000028,0,0,0,0,0,0.00017403846,Low
1,1000096,0,0,0,0,0,6.3908745e-05,Low
2,1000113,0,0,0,0,0,5.1752548e-05,Low
3,1000130,0,0,0,0,0,0.00022570064,Low
4,1000157,0,0,0,0,0,2.7857448e-05,Low
5,1000162,0,0,0,0,0,0.00055013556,Low
6,1000306,0,0,0,0,0,6.3020496e-05,Low
7,1000381,0,0,0,0,0,1.5536072e-05,Low
8,1000383,0,0,0,0,0,7.410163e-06,Low
9,1000384,0,0,0,0,0,6.423042e-05,Low
10,1000385,0,0,0,0,0,6.851951e-06,Low
11,1000386,0,0,0,0,0,1.1561704e-05,Low
12,1000387,0,0,0,0,0,1.8642055e-05,Low
13,1000388,0,0,0,0,0,7.019559e-06,Low
14,1000389,0,0,0,0,0,1.2662384e-05,Low
15,1000390,0,0,0,0,0,1.2518565e-05,Low
16,1000391,0,0,0,0,0,2.9480887e-05,Low
17,1000392,0,0,0,0,0,1.4481406e-05,Low
18,1000393,0,0,0,0,0,4.229165e-06,Low
19,1000394,0,0,0,0,0,6.444905e-06,Low
20,1000397,0,0,0,0,0,1.3928235e-05,Low
21,1000398,0,0,0,0,0,3.006588e-06,Low
22,1000399,0,0,0,0,0,1.1449599e-05,Low
23,1000400,0,0,0,0,0,2.3230017e-05,Low
24,1000401,0,0,0,0,0,3.907021e-05,Low
25,1000402,0,0,0,0,0,9.198652e-05,Low
26,1000403,0,0,0,0,0,5.1663e-05,Low
27,1000404,0,0,0,0,0,1.1807187e-05,Low
28,1000406,0,0,0,0,0,1.7832515e-05,Low
29,1000407,0,0,0,0,0,2.8356664e-05,Low
30,1000408,0,0,0,0,0,9.740406e-06,Low
31,1000409,0,0,0,0,0,2.4930283e-05,Low
32,1000410,0,0,0,0,0,1.1358981e-05,Low
33,1000411,0,0,0,0,0,6.1004316e-06,Low
34,1000412,0,0,0,0,0,2.7983574e-06,Low
