,pk_cid,credit_card,debit_card,have_paymentcards_products,propensity_score,propensity_segment
0,1000096,0,0,0,8.9346595e-06,Low
1,1000113,0,0,0,2.7402539e-05,Low
2,1000130,0,0,0,0.00030753104,Low
3,1000157,0,0,0,9.497322e-06,Low
4,1000162,0,0,0,4.031584e-05,Low
5,1000217,0,0,0,1.4514173e-05,Low
6,1000381,0,0,0,3.3229014e-06,Low
7,1000383,0,0,0,1.8428473e-06,Low
8,1000384,0,0,0,2.6769121e-06,Low
9,1000385,0,0,0,3.7699274e-06,Low
10,1000386,0,0,0,2.9113853e-06,Low
11,1000387,0,0,0,2.3883777e-06,Low
12,1000388,0,0,0,5.015993e-06,Low
13,1000389,0,0,0,5.5827563e-06,Low
14,1000390,0,0,0,3.446247e-06,Low
15,1000392,0,0,0,4.4179974e-06,Low
16,1000393,0,0,0,4.512831e-06,Low
17,1000394,0,0,0,2.3405478e-06,Low
18,1000397,0,0,0,3.2417104e-06,Low
19,1000398,0,0,0,3.6232439e-06,Low
20,1000399,0,0,0,4.9126506e-06,Low
21,1000400,0,0,0,5.518258e-06,Low
22,1000401,0,0,0,3.6891602e-06,Low
23,1000402,0,0,0,1.1670354e-05,Low
24,1000403,0,0,0,3.5646938e-06,Low
25,1000404,0,0,0,2.875999e-06,Low
26,1000406,0,0,0,4.0255773e-06,Low
27,1000407,0,0,0,4.1406793e-06,Low
28,1000408,0,0,0,2.667768e-06,Low
29,1000409,0,0,0,3.000959e-06,Low
30,1000410,0,0,0,3.0169858e-06,Low
31,1000411,0,0,0,3.7959858e-06,Low
32,1000412,0,0,0,2.902492e-06,Low
33,1000413,0,0,0,2.9975267e-06,Low
34,1000414,0,0,0,1.677557e-05,Low
35,1000415,0,0,0,1.4888319e-05,Low
36,1000416,0,0,0,3.5402468e-06,Low
37,1000417,0,0,0,3.854679e-06,Low
38,1000419,0,0,0,4.7438693e-06,Low
39,1000426,0,0,0,1.1569701e-05,Low
40,1000430,0,0,0,4.1821827e-06,Low
41,1000431,0,0,0,2.5948816e-06,Low
42,1000432,0,0,0,3.5479736e-06,Low
43,1000433,0,0,0,2.3052899e-06,Low
44,1000435,0,0,0,3.6793713e-06,Low
45,1000436,0,0,0,3.2360672e-06,Low
46,1000437,0,0,0,2.545061e-06,Low
