,pk_cid,propensity_score,propensity_segment
0,1000028,2.0533502e-05,Low
1,1000096,2.8574837e-05,Low
2,1000113,2.4333818e-05,Low
3,1000130,0.000100926765,Low
4,1000157,1.3554836e-05,Low
5,1000162,0.00010984356,Low
6,1000217,1.587832e-05,Low
7,1000306,2.5913898e-05,Low
8,1000381,7.744903e-06,Low
9,1000383,1.1868046e-05,Low
10,1000384,9.340348e-06,Low
11,1000385,1.3215676e-05,Low
12,1000386,9.105111e-06,Low
13,1000387,1.03962475e-05,Low
14,1000388,2.382029e-05,Low
15,1000389,1.0163705e-05,Low
16,1000390,1.7417291e-05,Low
17,1000391,7.766791e-05,Low
18,1000392,8.000709e-06,Low
19,1000393,8.820081e-06,Low
20,1000394,7.657783e-06,Low
21,1000397,1.3636599e-05,Low
22,1000398,8.468145e-06,Low
23,1000399,7.590317e-06,Low
24,1000400,9.091496e-06,Low
25,1000401,1.4920797e-05,Low
26,1000402,2.6868976e-05,Low
27,1000403,2.951853e-05,Low
28,1000404,8.948934e-06,Low
29,1000406,3.7122875e-06,Low
30,1000407,1.4986825e-05,Low
31,1000408,1.5076046e-05,Low
32,1000409,7.738892e-06,Low
33,1000410,1.3523951e-05,Low
34,1000411,1.3406071e-05,Low
35,1000412,1.3415381e-05,Low
36,1000413,1.2501052e-05,Low
37,1000414,6.8198765e-06,Low
38,1000415,7.792979e-05,Low
39,1000416,1.5623644e-05,Low
40,1000417,8.150389e-06,Low
41,1000419,9.872588e-06,Low
42,1000423,8.725653e-05,Low
43,1000424,7.970987e-05,Low
44,1000425,5.9670052e-05,Low
45,1000426,2.5356723e-05,Low
46,1000430,1.5760423e-05,Low
47,1000431,1.0884553e-05,Low
48,1000432,8.42039e-06,Low
49,1000433,6.1858946e-06,Low
50,1000435,2.228485e-05,Low
51,1000436,5.8414e-06,Low
52,1000437,8.51332e-06,Low
53,1000438,8.5769374e-05,Low
54,1000439,1.2293636e-05,Low
55,1000440,1.5604734e-05,Low
56,1000441,3.9925817e-05,Low
57,1000442,7.4411378e-06,Low
58,1000443,1.5179441e-05,Low
59,1000444,7.202433e-06,Low
60,1000447,3.1482152e-05,Low
61,1000449,3.698988e-05,Low
62,1000450,2.0294516e-05,Low
63,1000451,3.0027431e-05,Low
64,1000452,5.0400977e-06,Low
65,1000454,1.5386575e-05,Low
66,1000455,2.9189832e-05,Low
67,1000456,1.48587305e-05,Low
68,1000457,1.9234045e-05,Low
69,1000458,1.699709e-05,Low
70,1000460,1.5428172e-05,Low
71,1000461,1.0199096e-05,Low
72,1000462,4.101957e-06,Low
73,1000464,8.1736e-06,Low
74,1000465,8.581186e-06,Low
75,1000466,2.9853918e-05,Low
76,1000467,1.6793689e-05,Low
77,1000468,2.6373633e-05,Low
78,1000469,1.27760395e-05,Low
79,1000470,2.5563855e-05,Low
80,1000471,1.653404e-05,Low
81,1000472,1.6529359e-05,Low
82,1000473,2.3101376e-05,Low
83,1000474,8.999214e-06,Low
84,1000475,2.1374815e-05,Low
85,1000477,1.9086841e-05,Low
86,1000478,1.6786611e-05,Low
87,1000479,1.629355e-05,Low
88,1000480,4.0557225e-06,Low
