pk_cid,cluster_name
1000028,Particulares Premium Digitales
1000096,Particulares sin cuenta
1000113,Particulares sin cuenta
1000130,Particulares sin cuenta
1000157,Particulares Premium Digitales
1000162,Particulares Premium Digitales
1000217,Particulares Premium Digitales
1000306,Particulares Premium Digitales
1000381,Leads Jóvenes
1000383,Leads Jóvenes
1000384,Leads Jóvenes
1000385,Jóvenes Potenciales
1000386,Jóvenes Básicos Activos
1000387,Jóvenes Básicos Activos
1000388,Jóvenes Potenciales
1000389,Jóvenes Básicos Activos
1000390,Jóvenes Recientes
1000391,Particulares Premium Digitales
1000392,Leads Jóvenes
1000393,Jóvenes Potenciales
1000394,Jóvenes Recientes
1000397,Jóvenes Básicos Activos
1000398,Jóvenes Potenciales
1000399,Leads Jóvenes
1000400,Leads Jóvenes
1000401,Leads Jóvenes
1000402,Particulares sin cuenta
1000403,Jóvenes Básicos Activos
1000404,Jóvenes Recientes
1000406,Leads Jóvenes
1000407,Particulares sin cuenta
1000408,Leads Jóvenes
1000409,Leads Jóvenes
1000410,Jóvenes Básicos Activos
1000411,Jóvenes Potenciales
1000412,Jóvenes Potenciales
1000413,Jóvenes Potenciales
1000414,Particulares Premium Digitales
1000415,Particulares sin cuenta
1000416,Particulares sin cuenta
1000417,Leads Jóvenes
1000419,Jóvenes Básicos Activos
1000423,Particulares Premium Digitales
1000424,Particulares Premium Digitales
1000425,Particulares Premium Digitales
1000426,Particulares Premium Digitales
1000430,Jóvenes Recientes
1000431,Jóvenes Recientes
1000432,Jóvenes Recientes
1000433,Jóvenes Recientes
1000435,Jóvenes Básicos Activos
1000436,Jóvenes Potenciales
1000437,Jóvenes Recientes
1000438,Particulares Premium Digitales
1000439,Jóvenes Recientes
1000440,Jóvenes Recientes
1000441,Particulares Premium Digitales
1000442,Jóvenes Recientes
1000443,Jóvenes Recientes
1000444,Jóvenes Recientes
1000447,Particulares Premium Digitales
1000449,Particulares Premium Digitales
1000450,Jóvenes Recientes
1000451,Particulares Premium Digitales
1000452,Jóvenes Recientes
1000453,Jóvenes Recientes
1000454,Jóvenes Recientes
1000455,Jóvenes Recientes
1000456,Jóvenes Recientes
1000457,Jóvenes Recientes
1000458,Jóvenes Recientes
1000460,Jóvenes Recientes
1000461,Jóvenes Recientes
1000462,Jóvenes Recientes
1000464,Jóvenes Recientes
1000465,Jóvenes Recientes
1000466,Jóvenes Recientes
1000467,Leads Jóvenes
1000468,Jóvenes Básicos Activos
1000469,Jóvenes Recientes
1000470,Jóvenes Recientes
1000471,Jóvenes Recientes
1000472,Jóvenes Recientes
1000473,Particulares Premium Digitales
1000474,Jóvenes Recientes
1000475,Jóvenes Recientes
1000476,Particulares Premium Digitales
1000477,Jóvenes Recientes
1000478,Jóvenes Potenciales
