,age,age,salary,salary,z_months_since_entry,z_months_since_entry,z_num_products,z_num_products,active_customer,active_customer,pension_plan,pension_plan,payment_card,payment_card,loan,loan,investment,investment
,mean,median,mean,median,mean,median,mean,median,mean,median,mean,median,mean,median,mean,median,mean,median
cluster,,,,,,,,,,,,,,,,,,
1,24.44,23.0,93321.81,81780.82,25.03,22.0,0.94,1.0,0.33,0.0,0.01,0.0,0.04,0.0,0.0,0.0,0.01,0.0
2,24.07,23.0,113125.45,85674.09,27.24,30.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,40.61,39.0,109830.52,88329.09,24.62,23.0,0.23,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,43.01,40.0,120663.4,104212.08,22.08,20.0,1.96,2.0,1.0,1.0,0.15,0.0,0.4,0.0,0.0,0.0,0.08,0.0
5,23.81,23.0,87594.44,78302.37,25.8,22.0,0.92,1.0,0.35,0.0,0.01,0.0,0.04,0.0,0.0,0.0,0.0,0.0
6,23.8,22.0,137800.03,125047.2,19.49,18.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,42.35,40.0,87014.65,78090.81,22.26,20.0,1.38,1.0,0.68,1.0,0.09,0.0,0.24,0.0,0.0,0.0,0.05,0.0
8,27.43,24.0,128287.54,108560.26,22.53,20.0,1.49,1.0,1.0,1.0,0.1,0.0,0.19,0.0,0.0,0.0,0.05,0.0
