pk_cid,cluster,cluster_name
1000028,5,Particulares Activos
1000096,2,Profesionales Dormidos
1000113,2,Profesionales Dormidos
1000130,2,Profesionales Dormidos
1000157,5,Particulares Activos
1000162,5,Particulares Activos
1000217,5,Particulares Activos
1000306,5,Particulares Activos
1000381,6,Alto Potencial Virgen
1000383,6,Alto Potencial Virgen
1000384,3,Activos Multi-producto
1000385,1,Jóvenes Exploradores
1000386,4,Universitarios Estándar
1000387,4,Universitarios Estándar
1000388,1,Jóvenes Exploradores
1000389,4,Universitarios Estándar
1000390,3,Activos Multi-producto
1000391,5,Particulares Activos
1000392,6,Alto Potencial Virgen
1000393,1,Jóvenes Exploradores
1000394,3,Activos Multi-producto
1000397,4,Universitarios Estándar
1000398,1,Jóvenes Exploradores
1000399,3,Activos Multi-producto
1000400,4,Universitarios Estándar
1000401,6,Alto Potencial Virgen
1000402,2,Profesionales Dormidos
1000403,4,Universitarios Estándar
1000404,3,Activos Multi-producto
1000406,6,Alto Potencial Virgen
1000407,2,Profesionales Dormidos
1000408,6,Alto Potencial Virgen
1000409,3,Activos Multi-producto
1000410,4,Universitarios Estándar
1000411,1,Jóvenes Exploradores
1000412,1,Jóvenes Exploradores
1000413,1,Jóvenes Exploradores
1000414,2,Profesionales Dormidos
1000415,2,Profesionales Dormidos
1000416,2,Profesionales Dormidos
1000417,3,Activos Multi-producto
1000419,4,Universitarios Estándar
1000423,5,Particulares Activos
1000424,5,Particulares Activos
1000425,5,Particulares Activos
1000426,5,Particulares Activos
1000430,3,Activos Multi-producto
1000431,3,Activos Multi-producto
1000432,2,Profesionales Dormidos
1000433,3,Activos Multi-producto
1000435,4,Universitarios Estándar
1000436,1,Jóvenes Exploradores
1000437,3,Activos Multi-producto
1000438,5,Particulares Activos
1000439,2,Profesionales Dormidos
1000440,3,Activos Multi-producto
1000441,5,Particulares Activos
1000442,3,Activos Multi-producto
1000443,3,Activos Multi-producto
1000444,3,Activos Multi-producto
1000447,5,Particulares Activos
1000449,5,Particulares Activos
1000450,3,Activos Multi-producto
1000451,5,Particulares Activos
1000452,3,Activos Multi-producto
1000453,3,Activos Multi-producto
1000454,3,Activos Multi-producto
1000455,3,Activos Multi-producto
1000456,3,Activos Multi-producto
1000457,3,Activos Multi-producto
1000458,3,Activos Multi-producto
1000460,3,Activos Multi-producto
1000461,3,Activos Multi-producto
1000462,3,Activos Multi-producto
1000464,3,Activos Multi-producto
1000465,3,Activos Multi-producto
1000466,3,Activos Multi-producto
1000467,3,Activos Multi-producto
1000468,4,Universitarios Estándar
1000469,3,Activos Multi-producto
1000470,3,Activos Multi-producto
1000471,3,Activos Multi-producto
1000472,3,Activos Multi-producto
1000473,5,Particulares Activos
1000474,3,Activos Multi-producto
1000475,3,Activos Multi-producto
1000476,5,Particulares Activos
1000477,3,Activos Multi-producto
1000478,1,Jóvenes Exploradores
1000479,3,Activos Multi-producto
1000480,3,Activos Multi-producto
1000481,1,Jóvenes Exploradores
1000482,5,Particulares Activos
1000483,5,Particulares Activos
1000485,2,Profesionales Dormidos
1000486,5,Particulares Activos
1000487,2,Profesionales Dormidos
1000488,5,Particulares Activos
1000490,2,Profesionales Dormidos
1000492,2,Profesionales Dormidos
1000493,5,Particulares Activos
1000494,2,Profesionales Dormidos
1000495,1,Jóvenes Exploradores
1000497,5,Particulares Activos
1000498,5,Particulares Activos
1000499,5,Particulares Activos
1000501,5,Particulares Activos
1000502,1,Jóvenes Exploradores
1000503,5,Particulares Activos
1000504,2,Profesionales Dormidos
1000505,1,Jóvenes Exploradores
1000509,5,Particulares Activos
1000512,2,Profesionales Dormidos
1000513,2,Profesionales Dormidos
1000514,5,Particulares Activos
1000515,5,Particulares Activos
1000516,5,Particulares Activos
1000517,2,Profesionales Dormidos
1000518,2,Profesionales Dormidos
1000520,5,Particulares Activos
1000522,2,Profesionales Dormidos
1000523,2,Profesionales Dormidos
1000524,5,Particulares Activos
1000525,5,Particulares Activos
1000527,5,Particulares Activos
1000528,1,Jóvenes Exploradores
1000529,2,Profesionales Dormidos
1000530,5,Particulares Activos
1000531,2,Profesionales Dormidos
1000532,2,Profesionales Dormidos
1000533,5,Particulares Activos
1000534,5,Particulares Activos
1000536,5,Particulares Activos
1000537,5,Particulares Activos
1000538,2,Profesionales Dormidos
1000539,5,Particulares Activos
1000541,3,Activos Multi-producto
1000542,2,Profesionales Dormidos
1000543,5,Particulares Activos
1000547,2,Profesionales Dormidos
1000548,1,Jóvenes Exploradores
1000549,2,Profesionales Dormidos
1000550,5,Particulares Activos
1000551,1,Jóvenes Exploradores
1000552,5,Particulares Activos
1000554,2,Profesionales Dormidos
1000555,5,Particulares Activos
1000556,5,Particulares Activos
1000557,5,Particulares Activos
1000558,5,Particulares Activos
1000559,1,Jóvenes Exploradores
1000561,2,Profesionales Dormidos
1000564,2,Profesionales Dormidos
1000565,2,Profesionales Dormidos
1000566,2,Profesionales Dormidos
1000567,5,Particulares Activos
1000569,2,Profesionales Dormidos
1000571,5,Particulares Activos
1000572,1,Jóvenes Exploradores
1000573,3,Activos Multi-producto
1000575,3,Activos Multi-producto
1000576,5,Particulares Activos
1000577,2,Profesionales Dormidos
1000578,3,Activos Multi-producto
1000579,3,Activos Multi-producto
1000580,4,Universitarios Estándar
1000582,5,Particulares Activos
1000584,5,Particulares Activos
1000585,5,Particulares Activos
1000586,2,Profesionales Dormidos
1000587,5,Particulares Activos
1000589,5,Particulares Activos
1000590,5,Particulares Activos
1000591,1,Jóvenes Exploradores
1000592,5,Particulares Activos
1000594,2,Profesionales Dormidos
1000595,5,Particulares Activos
1000597,5,Particulares Activos
1000598,5,Particulares Activos
1000599,5,Particulares Activos
1000601,5,Particulares Activos
1000603,5,Particulares Activos
1000605,3,Activos Multi-producto
1000606,3,Activos Multi-producto
1000607,3,Activos Multi-producto
1000608,5,Particulares Activos
1000610,5,Particulares Activos
1000612,3,Activos Multi-producto
1000613,3,Activos Multi-producto
1000616,3,Activos Multi-producto
1000619,3,Activos Multi-producto
1000621,4,Universitarios Estándar
1000622,1,Jóvenes Exploradores
1000623,5,Particulares Activos
1000625,5,Particulares Activos
1000626,3,Activos Multi-producto
1000628,3,Activos Multi-producto
1000631,1,Jóvenes Exploradores
1000634,3,Activos Multi-producto
1000639,1,Jóvenes Exploradores
1000640,1,Jóvenes Exploradores
1000641,5,Particulares Activos
1000646,5,Particulares Activos
1000647,1,Jóvenes Exploradores
1000648,4,Universitarios Estándar
1000650,2,Profesionales Dormidos
1000651,4,Universitarios Estándar
1000652,1,Jóvenes Exploradores
1000653,5,Particulares Activos
1000655,2,Profesionales Dormidos
1000659,5,Particulares Activos
1000661,1,Jóvenes Exploradores
1000662,2,Profesionales Dormidos
1000663,3,Activos Multi-producto
1000665,2,Profesionales Dormidos
1000666,2,Profesionales Dormidos
1000667,5,Particulares Activos
1000668,2,Profesionales Dormidos
1000669,5,Particulares Activos
1000670,5,Particulares Activos
1000671,1,Jóvenes Exploradores
1000672,5,Particulares Activos
1000673,5,Particulares Activos
1000674,5,Particulares Activos
1000675,3,Activos Multi-producto
1000677,2,Profesionales Dormidos
1000678,5,Particulares Activos
1000679,2,Profesionales Dormidos
1000680,2,Profesionales Dormidos
1000683,5,Particulares Activos
1000684,5,Particulares Activos
1000685,2,Profesionales Dormidos
1000686,5,Particulares Activos
1000688,5,Particulares Activos
1000689,5,Particulares Activos
1000691,2,Profesionales Dormidos
1000693,5,Particulares Activos
1000695,2,Profesionales Dormidos
1000696,2,Profesionales Dormidos
1000697,5,Particulares Activos
1000699,5,Particulares Activos
1000700,2,Profesionales Dormidos
1000701,2,Profesionales Dormidos
1000703,5,Particulares Activos
1000704,5,Particulares Activos
1000705,2,Profesionales Dormidos
1000707,5,Particulares Activos
1000708,2,Profesionales Dormidos
1000709,1,Jóvenes Exploradores
1000710,2,Profesionales Dormidos
1000711,2,Profesionales Dormidos
1000712,5,Particulares Activos
1000713,2,Profesionales Dormidos
1000715,2,Profesionales Dormidos
1000716,5,Particulares Activos
1000717,5,Particulares Activos
1000718,3,Activos Multi-producto
1000719,2,Profesionales Dormidos
1000720,2,Profesionales Dormidos
1000721,2,Profesionales Dormidos
1000722,2,Profesionales Dormidos
1000723,5,Particulares Activos
1000727,5,Particulares Activos
1000729,5,Particulares Activos
1000730,5,Particulares Activos
1000734,5,Particulares Activos
1000735,5,Particulares Activos
1000739,5,Particulares Activos
1000740,5,Particulares Activos
1000741,5,Particulares Activos
1000743,3,Activos Multi-producto
1000744,3,Activos Multi-producto
1000745,6,Alto Potencial Virgen
1000746,2,Profesionales Dormidos
1000749,5,Particulares Activos
1000750,5,Particulares Activos
1000751,5,Particulares Activos
1000753,5,Particulares Activos
1000754,5,Particulares Activos
1000757,5,Particulares Activos
1000760,5,Particulares Activos
1000761,1,Jóvenes Exploradores
1000763,5,Particulares Activos
1000766,5,Particulares Activos
1000767,1,Jóvenes Exploradores
1000770,2,Profesionales Dormidos
1000772,5,Particulares Activos
1000774,5,Particulares Activos
1000776,5,Particulares Activos
1000777,5,Particulares Activos
1000778,5,Particulares Activos
1000779,2,Profesionales Dormidos
1000780,2,Profesionales Dormidos
1000782,3,Activos Multi-producto
1000784,5,Particulares Activos
1000785,2,Profesionales Dormidos
1000788,2,Profesionales Dormidos
1000789,5,Particulares Activos
1000791,5,Particulares Activos
1000792,2,Profesionales Dormidos
1000793,5,Particulares Activos
1000795,5,Particulares Activos
1000796,5,Particulares Activos
1000797,2,Profesionales Dormidos
1000798,5,Particulares Activos
1000800,5,Particulares Activos
1000801,2,Profesionales Dormidos
1000803,3,Activos Multi-producto
1000805,2,Profesionales Dormidos
1000806,1,Jóvenes Exploradores
1000807,2,Profesionales Dormidos
1000808,1,Jóvenes Exploradores
1000809,5,Particulares Activos
1000810,2,Profesionales Dormidos
1000811,5,Particulares Activos
1000813,2,Profesionales Dormidos
1000814,2,Profesionales Dormidos
1000815,2,Profesionales Dormidos
1000817,5,Particulares Activos
1000819,2,Profesionales Dormidos
1000822,5,Particulares Activos
1000824,2,Profesionales Dormidos
1000825,1,Jóvenes Exploradores
1000826,2,Profesionales Dormidos
1000828,5,Particulares Activos
1000829,5,Particulares Activos
1000831,5,Particulares Activos
1000832,5,Particulares Activos
1000834,2,Profesionales Dormidos
1000835,5,Particulares Activos
1000837,2,Profesionales Dormidos
1000838,2,Profesionales Dormidos
1000839,5,Particulares Activos
1000840,2,Profesionales Dormidos
1000841,2,Profesionales Dormidos
1000842,5,Particulares Activos
1000844,2,Profesionales Dormidos
1000846,2,Profesionales Dormidos
1000848,2,Profesionales Dormidos
1000852,2,Profesionales Dormidos
1000854,3,Activos Multi-producto
1000855,5,Particulares Activos
1000857,2,Profesionales Dormidos
1000858,2,Profesionales Dormidos
1000859,2,Profesionales Dormidos
1000860,5,Particulares Activos
1000864,5,Particulares Activos
1000865,2,Profesionales Dormidos
1000867,2,Profesionales Dormidos
1000869,2,Profesionales Dormidos
1000871,5,Particulares Activos
1000872,2,Profesionales Dormidos
1000873,2,Profesionales Dormidos
1000874,2,Profesionales Dormidos
1000877,6,Alto Potencial Virgen
1000880,2,Profesionales Dormidos
1000882,5,Particulares Activos
1000886,2,Profesionales Dormidos
1000887,5,Particulares Activos
1000888,5,Particulares Activos
1000891,2,Profesionales Dormidos
1000892,5,Particulares Activos
1000894,5,Particulares Activos
1000895,2,Profesionales Dormidos
1000896,4,Universitarios Estándar
1000897,5,Particulares Activos
1000899,5,Particulares Activos
1000900,2,Profesionales Dormidos
1000901,2,Profesionales Dormidos
1000902,6,Alto Potencial Virgen
1000903,5,Particulares Activos
1000904,2,Profesionales Dormidos
1000905,2,Profesionales Dormidos
1000906,5,Particulares Activos
1000907,2,Profesionales Dormidos
1000908,2,Profesionales Dormidos
1000909,1,Jóvenes Exploradores
1000914,2,Profesionales Dormidos
1000916,5,Particulares Activos
1000918,2,Profesionales Dormidos
1000920,5,Particulares Activos
1000921,1,Jóvenes Exploradores
1000922,2,Profesionales Dormidos
1000924,5,Particulares Activos
1000925,2,Profesionales Dormidos
1000926,5,Particulares Activos
1000927,5,Particulares Activos
1000928,5,Particulares Activos
1000930,5,Particulares Activos
1000931,5,Particulares Activos
1000932,2,Profesionales Dormidos
