pk_cid,cluster,cluster_name
1000028,4,Alto Valor Principal
1000096,3,Profesionales Dormidos
1000113,3,Profesionales Dormidos
1000130,3,Profesionales Dormidos
1000157,4,Alto Valor Principal
1000162,7,Valor Medio-Alto
1000217,4,Alto Valor Principal
1000306,7,Valor Medio-Alto
1000381,6,Alto Potencial Virgen
1000383,6,Alto Potencial Virgen
1000384,5,Jóvenes Activos Básicos
1000385,2,Inactivos Totales
1000386,1,Universitarios Estándar
1000387,1,Universitarios Estándar
1000388,2,Inactivos Totales
1000389,1,Universitarios Estándar
1000390,5,Jóvenes Activos Básicos
1000391,7,Valor Medio-Alto
1000392,6,Alto Potencial Virgen
1000393,2,Inactivos Totales
1000394,5,Jóvenes Activos Básicos
1000397,1,Universitarios Estándar
1000398,2,Inactivos Totales
1000399,5,Jóvenes Activos Básicos
1000400,1,Universitarios Estándar
1000401,6,Alto Potencial Virgen
1000402,3,Profesionales Dormidos
1000403,1,Universitarios Estándar
1000404,5,Jóvenes Activos Básicos
1000406,6,Alto Potencial Virgen
1000407,3,Profesionales Dormidos
1000408,6,Alto Potencial Virgen
1000409,5,Jóvenes Activos Básicos
1000410,1,Universitarios Estándar
1000411,2,Inactivos Totales
1000412,2,Inactivos Totales
1000413,2,Inactivos Totales
1000414,3,Profesionales Dormidos
1000415,3,Profesionales Dormidos
1000416,3,Profesionales Dormidos
1000417,5,Jóvenes Activos Básicos
1000419,1,Universitarios Estándar
1000423,4,Alto Valor Principal
1000424,4,Alto Valor Principal
1000425,4,Alto Valor Principal
1000426,4,Alto Valor Principal
1000430,5,Jóvenes Activos Básicos
1000431,5,Jóvenes Activos Básicos
1000432,7,Valor Medio-Alto
1000433,5,Jóvenes Activos Básicos
1000435,1,Universitarios Estándar
1000436,2,Inactivos Totales
1000437,5,Jóvenes Activos Básicos
1000438,4,Alto Valor Principal
1000439,7,Valor Medio-Alto
1000440,5,Jóvenes Activos Básicos
1000441,7,Valor Medio-Alto
1000442,5,Jóvenes Activos Básicos
1000443,5,Jóvenes Activos Básicos
1000444,5,Jóvenes Activos Básicos
1000447,7,Valor Medio-Alto
1000449,7,Valor Medio-Alto
1000450,5,Jóvenes Activos Básicos
1000451,7,Valor Medio-Alto
1000452,5,Jóvenes Activos Básicos
1000453,5,Jóvenes Activos Básicos
1000454,5,Jóvenes Activos Básicos
1000455,5,Jóvenes Activos Básicos
1000456,5,Jóvenes Activos Básicos
1000457,5,Jóvenes Activos Básicos
1000458,5,Jóvenes Activos Básicos
1000460,5,Jóvenes Activos Básicos
1000461,5,Jóvenes Activos Básicos
1000462,5,Jóvenes Activos Básicos
1000464,5,Jóvenes Activos Básicos
1000465,5,Jóvenes Activos Básicos
1000466,5,Jóvenes Activos Básicos
1000467,5,Jóvenes Activos Básicos
1000468,1,Universitarios Estándar
1000469,5,Jóvenes Activos Básicos
1000470,5,Jóvenes Activos Básicos
1000471,5,Jóvenes Activos Básicos
1000472,5,Jóvenes Activos Básicos
1000473,7,Valor Medio-Alto
1000474,5,Jóvenes Activos Básicos
1000475,5,Jóvenes Activos Básicos
1000476,4,Alto Valor Principal
1000477,5,Jóvenes Activos Básicos
1000478,8,Emergentes Premium
1000479,5,Jóvenes Activos Básicos
1000480,5,Jóvenes Activos Básicos
1000481,8,Emergentes Premium
1000482,7,Valor Medio-Alto
1000483,7,Valor Medio-Alto
1000485,3,Profesionales Dormidos
1000486,7,Valor Medio-Alto
1000487,3,Profesionales Dormidos
1000488,7,Valor Medio-Alto
1000490,3,Profesionales Dormidos
1000492,3,Profesionales Dormidos
1000493,4,Alto Valor Principal
1000494,3,Profesionales Dormidos
1000495,8,Emergentes Premium
1000497,7,Valor Medio-Alto
1000498,4,Alto Valor Principal
1000499,7,Valor Medio-Alto
1000501,4,Alto Valor Principal
1000502,8,Emergentes Premium
1000503,4,Alto Valor Principal
1000504,3,Profesionales Dormidos
1000505,8,Emergentes Premium
1000509,4,Alto Valor Principal
1000512,3,Profesionales Dormidos
1000513,3,Profesionales Dormidos
1000514,7,Valor Medio-Alto
1000515,4,Alto Valor Principal
1000516,4,Alto Valor Principal
1000517,3,Profesionales Dormidos
1000518,3,Profesionales Dormidos
1000520,7,Valor Medio-Alto
1000522,3,Profesionales Dormidos
1000523,7,Valor Medio-Alto
1000524,7,Valor Medio-Alto
1000525,7,Valor Medio-Alto
1000527,4,Alto Valor Principal
1000528,8,Emergentes Premium
1000529,7,Valor Medio-Alto
1000530,7,Valor Medio-Alto
1000531,3,Profesionales Dormidos
1000532,3,Profesionales Dormidos
1000533,7,Valor Medio-Alto
1000534,4,Alto Valor Principal
1000536,4,Alto Valor Principal
1000537,4,Alto Valor Principal
1000538,3,Profesionales Dormidos
1000539,4,Alto Valor Principal
1000541,5,Jóvenes Activos Básicos
1000542,3,Profesionales Dormidos
1000543,4,Alto Valor Principal
1000547,7,Valor Medio-Alto
1000548,8,Emergentes Premium
1000549,3,Profesionales Dormidos
1000550,7,Valor Medio-Alto
1000551,8,Emergentes Premium
1000552,4,Alto Valor Principal
