pk_cid,cluster,cluster_name,propensity_investment
133490,1,Jóvenes Exploradores,0.99961275
420310,1,Jóvenes Exploradores,0.9995715
1552635,1,Jóvenes Exploradores,0.9988153
720560,1,Jóvenes Exploradores,0.9987953
1548405,1,Jóvenes Exploradores,0.99851733
1256429,1,Jóvenes Exploradores,0.9984518
1549819,1,Jóvenes Exploradores,0.9983553
647775,1,Jóvenes Exploradores,0.99832743
1550508,1,Jóvenes Exploradores,0.99817455
91532,1,Jóvenes Exploradores,0.99817455
1548756,1,Jóvenes Exploradores,0.9981547
1550785,1,Jóvenes Exploradores,0.9981547
865227,1,Jóvenes Exploradores,0.9980702
1550364,1,Jóvenes Exploradores,0.99801
1552027,1,Jóvenes Exploradores,0.99801
1552782,1,Jóvenes Exploradores,0.99801
1552875,1,Jóvenes Exploradores,0.9978947
1553090,1,Jóvenes Exploradores,0.99760604
1551890,1,Jóvenes Exploradores,0.99757344
1551105,1,Jóvenes Exploradores,0.9974617
1548998,1,Jóvenes Exploradores,0.99743587
1548806,1,Jóvenes Exploradores,0.9973832
1548501,1,Jóvenes Exploradores,0.99736375
1552514,1,Jóvenes Exploradores,0.99736375
1553390,1,Jóvenes Exploradores,0.99736375
1549775,1,Jóvenes Exploradores,0.9972583
1550209,1,Jóvenes Exploradores,0.9971738
1551835,1,Jóvenes Exploradores,0.9970638
1378876,1,Jóvenes Exploradores,0.9970113
1550133,1,Jóvenes Exploradores,0.9970113
1549567,1,Jóvenes Exploradores,0.9969517
1545348,1,Jóvenes Exploradores,0.9968736
1550882,1,Jóvenes Exploradores,0.9968719
1550609,1,Jóvenes Exploradores,0.9968244
1551800,1,Jóvenes Exploradores,0.9968244
1552402,1,Jóvenes Exploradores,0.9968244
137345,1,Jóvenes Exploradores,0.99681157
1548961,1,Jóvenes Exploradores,0.9968087
1548799,1,Jóvenes Exploradores,0.9967475
1114695,1,Jóvenes Exploradores,0.9966545
1549146,1,Jóvenes Exploradores,0.9966545
1549685,1,Jóvenes Exploradores,0.9966545
556543,1,Jóvenes Exploradores,0.9965804
1550150,1,Jóvenes Exploradores,0.9965264
1550418,1,Jóvenes Exploradores,0.9965209
1548853,1,Jóvenes Exploradores,0.9965144
1548381,1,Jóvenes Exploradores,0.9964192
1548950,1,Jóvenes Exploradores,0.9964192
1549054,1,Jóvenes Exploradores,0.9964192
1549134,1,Jóvenes Exploradores,0.9964192
1550989,1,Jóvenes Exploradores,0.9964192
1549038,1,Jóvenes Exploradores,0.99638844
411946,1,Jóvenes Exploradores,0.9962203
1548974,1,Jóvenes Exploradores,0.9962077
1551187,1,Jóvenes Exploradores,0.9962077
1548907,1,Jóvenes Exploradores,0.9961677
1548331,1,Jóvenes Exploradores,0.9959955
1549763,1,Jóvenes Exploradores,0.99591357
1550266,1,Jóvenes Exploradores,0.9958592
1552465,1,Jóvenes Exploradores,0.9958592
206103,1,Jóvenes Exploradores,0.9958584
323415,1,Jóvenes Exploradores,0.99585587
1164094,1,Jóvenes Exploradores,0.99568594
1549980,1,Jóvenes Exploradores,0.9956626
1552653,1,Jóvenes Exploradores,0.9956409
1551251,1,Jóvenes Exploradores,0.99556786
1550297,1,Jóvenes Exploradores,0.99544746
1553559,1,Jóvenes Exploradores,0.9954066
1549242,1,Jóvenes Exploradores,0.9954047
1549750,1,Jóvenes Exploradores,0.9954047
1551732,1,Jóvenes Exploradores,0.9954047
1550029,1,Jóvenes Exploradores,0.9953818
1552921,1,Jóvenes Exploradores,0.99537754
1553389,1,Jóvenes Exploradores,0.99537754
873277,1,Jóvenes Exploradores,0.99537754
1549671,1,Jóvenes Exploradores,0.9953731
1549853,1,Jóvenes Exploradores,0.99532324
475608,1,Jóvenes Exploradores,0.9952864
1552806,1,Jóvenes Exploradores,0.99526924
1548412,1,Jóvenes Exploradores,0.99525154
1374218,1,Jóvenes Exploradores,0.99514043
1550997,1,Jóvenes Exploradores,0.9951304
1551822,1,Jóvenes Exploradores,0.9950571
1548421,1,Jóvenes Exploradores,0.9950158
1549985,1,Jóvenes Exploradores,0.9949378
1551594,1,Jóvenes Exploradores,0.9949378
1548294,1,Jóvenes Exploradores,0.9949327
1550969,1,Jóvenes Exploradores,0.9948119
904582,1,Jóvenes Exploradores,0.9946056
1550515,1,Jóvenes Exploradores,0.99438334
1551737,1,Jóvenes Exploradores,0.994369
35843,1,Jóvenes Exploradores,0.994369
1550060,1,Jóvenes Exploradores,0.99435955
1553241,1,Jóvenes Exploradores,0.99432915
1550874,1,Jóvenes Exploradores,0.99429035
1550872,1,Jóvenes Exploradores,0.99424005
1549168,1,Jóvenes Exploradores,0.9941724
1549202,1,Jóvenes Exploradores,0.9941724
1549253,1,Jóvenes Exploradores,0.9941724
1550335,1,Jóvenes Exploradores,0.9941724
1537962,2,Profesionales Dormidos,0.9983082
1538260,2,Profesionales Dormidos,0.9980052
1537460,2,Profesionales Dormidos,0.9978186
1541767,2,Profesionales Dormidos,0.9978186
1518404,2,Profesionales Dormidos,0.99761
1529943,2,Profesionales Dormidos,0.9973719
1537503,2,Profesionales Dormidos,0.99725336
1537173,2,Profesionales Dormidos,0.99722195
1532682,2,Profesionales Dormidos,0.9966798
1237337,2,Profesionales Dormidos,0.99646497
1546037,2,Profesionales Dormidos,0.99646497
1517198,2,Profesionales Dormidos,0.99587613
1525341,2,Profesionales Dormidos,0.9957073
1539518,2,Profesionales Dormidos,0.99557674
1540756,2,Profesionales Dormidos,0.9954045
1543467,2,Profesionales Dormidos,0.9951379
1546494,2,Profesionales Dormidos,0.9945051
1529618,2,Profesionales Dormidos,0.99426854
1546683,2,Profesionales Dormidos,0.9935905
1530131,2,Profesionales Dormidos,0.9931908
1548007,2,Profesionales Dormidos,0.99302673
1543377,2,Profesionales Dormidos,0.9920332
1436375,2,Profesionales Dormidos,0.99196845
1538253,2,Profesionales Dormidos,0.99192655
1547515,2,Profesionales Dormidos,0.99105597
1537124,2,Profesionales Dormidos,0.9910358
1546024,2,Profesionales Dormidos,0.99081236
25569,2,Profesionales Dormidos,0.99079883
1520048,2,Profesionales Dormidos,0.9898958
1535533,2,Profesionales Dormidos,0.98985636
1536830,2,Profesionales Dormidos,0.9894421
1547641,2,Profesionales Dormidos,0.98907125
1547704,2,Profesionales Dormidos,0.9886276
1545090,2,Profesionales Dormidos,0.9884642
1538284,2,Profesionales Dormidos,0.9884469
