pk_cid,cluster,cluster_name,propensity_investment
1537017,1,Universitarios Estándar,0.9994987
202565,1,Universitarios Estándar,0.9994766
1531924,1,Universitarios Estándar,0.99932885
1539457,1,Universitarios Estándar,0.9990274
1549591,1,Universitarios Estándar,0.9989635
1532941,1,Universitarios Estándar,0.9988374
1550563,1,Universitarios Estándar,0.9985801
1550772,1,Universitarios Estándar,0.9985801
1536941,1,Universitarios Estándar,0.9985409
1550104,1,Universitarios Estándar,0.9984737
1532596,1,Universitarios Estándar,0.9983063
1549136,1,Universitarios Estándar,0.9982528
1548311,1,Universitarios Estándar,0.99824893
1551833,1,Universitarios Estándar,0.998242
1537502,1,Universitarios Estándar,0.9982338
1538953,1,Universitarios Estándar,0.99808383
1530907,1,Universitarios Estándar,0.9979557
1552950,1,Universitarios Estándar,0.99790263
1544889,1,Universitarios Estándar,0.9978586
1547427,1,Universitarios Estándar,0.9976937
1548423,1,Universitarios Estándar,0.99762434
1526663,1,Universitarios Estándar,0.9974408
1550359,1,Universitarios Estándar,0.9973258
1534923,1,Universitarios Estándar,0.99716824
1530270,1,Universitarios Estándar,0.99707913
1538418,1,Universitarios Estándar,0.99700963
1551575,1,Universitarios Estándar,0.99700314
1537207,1,Universitarios Estándar,0.9969807
1550958,1,Universitarios Estándar,0.996657
1543371,1,Universitarios Estándar,0.99657285
1537838,1,Universitarios Estándar,0.9965496
1534914,1,Universitarios Estándar,0.9964838
1552849,1,Universitarios Estándar,0.9964413
1527057,1,Universitarios Estándar,0.99619055
1549760,1,Universitarios Estándar,0.9961541
1550086,1,Universitarios Estándar,0.99603266
1549346,1,Universitarios Estándar,0.99596894
1549873,1,Universitarios Estándar,0.99579453
1542220,1,Universitarios Estándar,0.995673
1551630,1,Universitarios Estándar,0.9956091
1538707,1,Universitarios Estándar,0.99560213
1551077,1,Universitarios Estándar,0.99546945
1549708,1,Universitarios Estándar,0.9954299
1549410,1,Universitarios Estándar,0.99537474
1532628,1,Universitarios Estándar,0.99532205
893533,1,Universitarios Estándar,0.99528605
1552310,1,Universitarios Estándar,0.9952792
1528327,1,Universitarios Estándar,0.99526393
1552042,1,Universitarios Estándar,0.9950795
1532175,1,Universitarios Estándar,0.9949884
1547448,1,Universitarios Estándar,0.9949822
1549355,1,Universitarios Estándar,0.9948453
1548939,1,Universitarios Estándar,0.9947923
1539108,1,Universitarios Estándar,0.99461573
1551881,1,Universitarios Estándar,0.99449027
1549698,1,Universitarios Estándar,0.99447834
1549262,1,Universitarios Estándar,0.9944759
1551202,1,Universitarios Estándar,0.9944759
1524991,1,Universitarios Estándar,0.9944195
1532656,1,Universitarios Estándar,0.99438286
1550222,1,Universitarios Estándar,0.9943703
1523146,1,Universitarios Estándar,0.99430543
1533122,1,Universitarios Estándar,0.99427867
1552992,1,Universitarios Estándar,0.99427116
1538952,1,Universitarios Estándar,0.9942082
1550450,1,Universitarios Estándar,0.9937064
1550445,1,Universitarios Estándar,0.99366343
1549838,1,Universitarios Estándar,0.993541
45848,1,Universitarios Estándar,0.9934232
1539061,1,Universitarios Estándar,0.9933622
1534338,1,Universitarios Estándar,0.9933182
1548872,1,Universitarios Estándar,0.99323976
1525157,1,Universitarios Estándar,0.9929109
1551562,1,Universitarios Estándar,0.99286413
1524009,1,Universitarios Estándar,0.9928227
1552021,1,Universitarios Estándar,0.9927564
1534461,1,Universitarios Estándar,0.9925184
1551860,1,Universitarios Estándar,0.99240464
1550985,1,Universitarios Estándar,0.9924038
1527154,1,Universitarios Estándar,0.9923211
1548650,1,Universitarios Estándar,0.9921748
1552567,1,Universitarios Estándar,0.9921748
1552069,1,Universitarios Estándar,0.9921745
1540732,1,Universitarios Estándar,0.99216217
1549998,1,Universitarios Estándar,0.9919329
1550741,1,Universitarios Estándar,0.99185103
1552688,1,Universitarios Estándar,0.99154085
1533488,1,Universitarios Estándar,0.99152094
1548624,1,Universitarios Estándar,0.99127674
1546225,1,Universitarios Estándar,0.9910766
1526070,1,Universitarios Estándar,0.9909904
1550087,1,Universitarios Estándar,0.99098337
1551137,1,Universitarios Estándar,0.99038154
97124,1,Universitarios Estándar,0.9903757
1538545,1,Universitarios Estándar,0.99013746
1528904,1,Universitarios Estándar,0.9900775
1532796,1,Universitarios Estándar,0.9900662
1549911,1,Universitarios Estándar,0.98989666
1533128,1,Universitarios Estándar,0.9897314
1533281,1,Universitarios Estándar,0.9896588
1549671,2,Inactivos Totales,0.9953731
1552122,2,Inactivos Totales,0.9941401
1553338,2,Inactivos Totales,0.9941401
1551991,2,Inactivos Totales,0.9934902
1551269,2,Inactivos Totales,0.99144405
1343927,2,Inactivos Totales,0.9908756
1550444,2,Inactivos Totales,0.9904785
1362490,2,Inactivos Totales,0.9862322
1550849,2,Inactivos Totales,0.9837204
1548438,2,Inactivos Totales,0.9834801
1551900,2,Inactivos Totales,0.98345965
1550275,2,Inactivos Totales,0.98302966
1553152,2,Inactivos Totales,0.9810403
1548545,2,Inactivos Totales,0.9804584
1551035,2,Inactivos Totales,0.9781114
1552526,2,Inactivos Totales,0.977145
1550766,2,Inactivos Totales,0.9744367
1147267,2,Inactivos Totales,0.9740485
1549537,2,Inactivos Totales,0.9731531
1533440,2,Inactivos Totales,0.9722864
1550436,2,Inactivos Totales,0.97219616
1551091,2,Inactivos Totales,0.9695935
1551793,2,Inactivos Totales,0.9692085
1553004,2,Inactivos Totales,0.968158
603198,2,Inactivos Totales,0.9676666
1548779,2,Inactivos Totales,0.96500176
1550488,2,Inactivos Totales,0.96333385
1550501,2,Inactivos Totales,0.9631186
1549034,2,Inactivos Totales,0.9623974
1551093,2,Inactivos Totales,0.9594867
1549229,2,Inactivos Totales,0.9585679
1549746,2,Inactivos Totales,0.95795184
1552463,2,Inactivos Totales,0.95795184
1549223,2,Inactivos Totales,0.9545643
1551966,2,Inactivos Totales,0.95452595
1549822,2,Inactivos Totales,0.95425093
1552820,2,Inactivos Totales,0.9534817
1548800,2,Inactivos Totales,0.9495646
1549002,2,Inactivos Totales,0.94875306
1550288,2,Inactivos Totales,0.9429546
1550482,2,Inactivos Totales,0.937786
1548996,2,Inactivos Totales,0.9377434
1550112,2,Inactivos Totales,0.9377434
1551135,2,Inactivos Totales,0.9377434
1533176,2,Inactivos Totales,0.93511313
1551678,2,Inactivos Totales,0.9308003
1548642,2,Inactivos Totales,0.9153568
1548733,2,Inactivos Totales,0.90879506
1551585,2,Inactivos Totales,0.90879506
1550067,2,Inactivos Totales,0.90739137
1550319,2,Inactivos Totales,0.90739137
1553020,2,Inactivos Totales,0.90739137
1551811,2,Inactivos Totales,0.9069871
1550320,2,Inactivos Totales,0.89949185
1523769,2,Inactivos Totales,0.89913136
1549453,2,Inactivos Totales,0.8961576
1551702,2,Inactivos Totales,0.8898064
1551052,2,Inactivos Totales,0.8576559
1551276,2,Inactivos Totales,0.8576559
1549485,2,Inactivos Totales,0.8445705
1548480,2,Inactivos Totales,0.8350795
1547001,2,Inactivos Totales,0.8120354
1551517,2,Inactivos Totales,0.8053456
1553188,2,Inactivos Totales,0.8029928
1552316,2,Inactivos Totales,0.793206
1549283,2,Inactivos Totales,0.78724664
1512334,2,Inactivos Totales,0.7716258
1551097,2,Inactivos Totales,0.77107185
1549286,2,Inactivos Totales,0.7708568
1549918,2,Inactivos Totales,0.7708568
1552409,2,Inactivos Totales,0.7708568
1551934,2,Inactivos Totales,0.73572767
1549403,2,Inactivos Totales,0.7344512
1550776,2,Inactivos Totales,0.70881104
1551117,2,Inactivos Totales,0.70881104
1515033,2,Inactivos Totales,0.7023737
1549787,2,Inactivos Totales,0.69392085
1550722,2,Inactivos Totales,0.69392085
1547080,2,Inactivos Totales,0.69055337
1523058,2,Inactivos Totales,0.679644
1512335,2,Inactivos Totales,0.67093354
1544294,2,Inactivos Totales,0.6600591
1521381,2,Inactivos Totales,0.6587348
1514865,2,Inactivos Totales,0.6539286
1550657,2,Inactivos Totales,0.64907134
1521536,2,Inactivos Totales,0.64694774
1551654,2,Inactivos Totales,0.6272325
1375719,2,Inactivos Totales,0.62512964
1549371,2,Inactivos Totales,0.62512964
1549795,2,Inactivos Totales,0.6217007
1552228,2,Inactivos Totales,0.6210247
1550963,2,Inactivos Totales,0.6202485
1551490,2,Inactivos Totales,0.6202485
1525013,2,Inactivos Totales,0.6115836
1551987,2,Inactivos Totales,0.61032736
1550318,2,Inactivos Totales,0.60522664
1551142,2,Inactivos Totales,0.60522664
1548418,2,Inactivos Totales,0.5828465
1549427,2,Inactivos Totales,0.5828465
1550798,2,Inactivos Totales,0.5828465
1539898,3,Profesionales Dormidos,0.9984315
1537962,3,Profesionales Dormidos,0.9983082
1538260,3,Profesionales Dormidos,0.9980052
1537460,3,Profesionales Dormidos,0.9978186
1541767,3,Profesionales Dormidos,0.9978186
1518404,3,Profesionales Dormidos,0.99761
1529943,3,Profesionales Dormidos,0.9973719
1537503,3,Profesionales Dormidos,0.99725336
1532537,3,Profesionales Dormidos,0.99725264
1537173,3,Profesionales Dormidos,0.99722195
1532682,3,Profesionales Dormidos,0.9966798
1237337,3,Profesionales Dormidos,0.99646497
1546037,3,Profesionales Dormidos,0.99646497
1517198,3,Profesionales Dormidos,0.99587613
