pk_cid,cluster,cluster_name,propensity_pension
1547563,1,Jóvenes Exploradores,0.9915154
1548379,1,Jóvenes Exploradores,0.99116874
1524796,1,Jóvenes Exploradores,0.990629
1548558,1,Jóvenes Exploradores,0.9897453
1548355,1,Jóvenes Exploradores,0.98878735
1548696,1,Jóvenes Exploradores,0.98878735
1548930,1,Jóvenes Exploradores,0.98629135
1551116,1,Jóvenes Exploradores,0.98616785
1548590,1,Jóvenes Exploradores,0.98581356
1550901,1,Jóvenes Exploradores,0.98493505
1549447,1,Jóvenes Exploradores,0.98278457
1549579,1,Jóvenes Exploradores,0.98142195
1551065,1,Jóvenes Exploradores,0.9805493
1532895,1,Jóvenes Exploradores,0.98041254
1547649,1,Jóvenes Exploradores,0.97912574
1546807,1,Jóvenes Exploradores,0.9780839
1550536,1,Jóvenes Exploradores,0.9774464
1548783,1,Jóvenes Exploradores,0.9766391
1548870,1,Jóvenes Exploradores,0.9762849
1548361,1,Jóvenes Exploradores,0.9758764
1549665,1,Jóvenes Exploradores,0.97517747
1549017,1,Jóvenes Exploradores,0.97502136
1547561,1,Jóvenes Exploradores,0.97472805
1546583,1,Jóvenes Exploradores,0.97466624
1551987,1,Jóvenes Exploradores,0.9746587
1549418,1,Jóvenes Exploradores,0.97428507
1547372,1,Jóvenes Exploradores,0.9739947
1547658,1,Jóvenes Exploradores,0.9739334
1533325,1,Jóvenes Exploradores,0.9732136
1524865,1,Jóvenes Exploradores,0.97311765
1550893,1,Jóvenes Exploradores,0.9730812
1545948,1,Jóvenes Exploradores,0.9728583
1550127,1,Jóvenes Exploradores,0.9726052
1546425,1,Jóvenes Exploradores,0.97252053
1548880,1,Jóvenes Exploradores,0.9724072
1550413,1,Jóvenes Exploradores,0.9724072
1547826,1,Jóvenes Exploradores,0.97236335
1548555,1,Jóvenes Exploradores,0.97192705
1545255,1,Jóvenes Exploradores,0.97096145
1546388,1,Jóvenes Exploradores,0.97062904
1550225,1,Jóvenes Exploradores,0.9704021
1551293,1,Jóvenes Exploradores,0.9703645
1549689,1,Jóvenes Exploradores,0.970326
1548610,1,Jóvenes Exploradores,0.96998006
1549767,1,Jóvenes Exploradores,0.96998006
1551879,1,Jóvenes Exploradores,0.9699117
1549483,1,Jóvenes Exploradores,0.9694407
1550789,1,Jóvenes Exploradores,0.9694407
1551968,1,Jóvenes Exploradores,0.9694407
1552101,1,Jóvenes Exploradores,0.9694407
1547339,1,Jóvenes Exploradores,0.96936
1550161,1,Jóvenes Exploradores,0.9689649
1552581,1,Jóvenes Exploradores,0.9689649
1552757,1,Jóvenes Exploradores,0.9688636
1524802,1,Jóvenes Exploradores,0.96866715
1544588,1,Jóvenes Exploradores,0.96862274
1548847,1,Jóvenes Exploradores,0.9685763
1549015,1,Jóvenes Exploradores,0.9680847
1551003,1,Jóvenes Exploradores,0.9677554
1548496,1,Jóvenes Exploradores,0.9677013
1548605,1,Jóvenes Exploradores,0.9677013
1549401,1,Jóvenes Exploradores,0.9677013
1550928,1,Jóvenes Exploradores,0.9677013
1551979,1,Jóvenes Exploradores,0.9677013
1552702,1,Jóvenes Exploradores,0.9677013
1524630,1,Jóvenes Exploradores,0.9676386
1545020,1,Jóvenes Exploradores,0.9674705
1545470,1,Jóvenes Exploradores,0.9674705
1548581,1,Jóvenes Exploradores,0.96746695
1550911,1,Jóvenes Exploradores,0.96746695
1551032,1,Jóvenes Exploradores,0.9674443
1551588,1,Jóvenes Exploradores,0.9674443
1548991,1,Jóvenes Exploradores,0.96740526
1549644,1,Jóvenes Exploradores,0.96740526
1551701,1,Jóvenes Exploradores,0.96740526
1545449,1,Jóvenes Exploradores,0.9673566
1546440,1,Jóvenes Exploradores,0.9673566
1549072,1,Jóvenes Exploradores,0.9670419
1542699,1,Jóvenes Exploradores,0.9667905
1548770,1,Jóvenes Exploradores,0.9665179
1548547,1,Jóvenes Exploradores,0.96587557
1551263,1,Jóvenes Exploradores,0.96587557
1548708,1,Jóvenes Exploradores,0.9656669
1549577,1,Jóvenes Exploradores,0.96561307
1551260,1,Jóvenes Exploradores,0.96561307
1550743,1,Jóvenes Exploradores,0.9654935
1551478,1,Jóvenes Exploradores,0.96532583
1548337,1,Jóvenes Exploradores,0.96521354
1548748,1,Jóvenes Exploradores,0.96521354
1549456,1,Jóvenes Exploradores,0.96521354
1550534,1,Jóvenes Exploradores,0.96521354
1548810,1,Jóvenes Exploradores,0.96511537
1549769,1,Jóvenes Exploradores,0.96511537
1553147,1,Jóvenes Exploradores,0.96511537
1549669,1,Jóvenes Exploradores,0.9649931
1551514,1,Jóvenes Exploradores,0.9649931
1552216,1,Jóvenes Exploradores,0.9649931
1546851,1,Jóvenes Exploradores,0.9646788
1550337,1,Jóvenes Exploradores,0.9645564
1551047,1,Jóvenes Exploradores,0.9645564
1544647,2,Profesionales Dormidos,0.97754925
1547929,2,Profesionales Dormidos,0.9770314
1152033,2,Profesionales Dormidos,0.9764376
1544464,2,Profesionales Dormidos,0.97530353
1544025,2,Profesionales Dormidos,0.97472405
1544342,2,Profesionales Dormidos,0.9713605
1546419,2,Profesionales Dormidos,0.9703879
1545848,2,Profesionales Dormidos,0.9697179
1547528,2,Profesionales Dormidos,0.9685606
1547675,2,Profesionales Dormidos,0.9676693
1547220,2,Profesionales Dormidos,0.9646966
1546859,2,Profesionales Dormidos,0.9643027
1544038,2,Profesionales Dormidos,0.9638854
1546982,2,Profesionales Dormidos,0.963874
1547581,2,Profesionales Dormidos,0.96307915
1537818,2,Profesionales Dormidos,0.96234196
1544668,2,Profesionales Dormidos,0.9619954
1544672,2,Profesionales Dormidos,0.9582592
1543849,2,Profesionales Dormidos,0.9564794
1545349,2,Profesionales Dormidos,0.95544755
1544311,2,Profesionales Dormidos,0.95541734
1545941,2,Profesionales Dormidos,0.95540994
1543799,2,Profesionales Dormidos,0.955218
1547838,2,Profesionales Dormidos,0.9552017
1547823,2,Profesionales Dormidos,0.95372236
1546178,2,Profesionales Dormidos,0.9533705
1547204,2,Profesionales Dormidos,0.953344
1546714,2,Profesionales Dormidos,0.95229536
1547934,2,Profesionales Dormidos,0.9522357
1547137,2,Profesionales Dormidos,0.9521827
1542785,2,Profesionales Dormidos,0.95155615
1547374,2,Profesionales Dormidos,0.9515146
1543049,2,Profesionales Dormidos,0.95055866
1543405,2,Profesionales Dormidos,0.9495978
1545197,2,Profesionales Dormidos,0.9494534
1545501,2,Profesionales Dormidos,0.9479588
1544866,2,Profesionales Dormidos,0.94763863
1545732,2,Profesionales Dormidos,0.94709253
1546193,2,Profesionales Dormidos,0.947082
1548005,2,Profesionales Dormidos,0.9469345
1547192,2,Profesionales Dormidos,0.94681334
1547984,2,Profesionales Dormidos,0.9461331
1545839,2,Profesionales Dormidos,0.9453331
1548203,2,Profesionales Dormidos,0.9453331
1547041,2,Profesionales Dormidos,0.94487053
1543573,2,Profesionales Dormidos,0.9445379
1545584,2,Profesionales Dormidos,0.9445379
1544613,2,Profesionales Dormidos,0.9444763
1543861,2,Profesionales Dormidos,0.94421256
1302130,2,Profesionales Dormidos,0.944022
1546750,2,Profesionales Dormidos,0.9429654
1546491,2,Profesionales Dormidos,0.94247407
1546484,2,Profesionales Dormidos,0.9423373
1543300,2,Profesionales Dormidos,0.942189
1544463,2,Profesionales Dormidos,0.94200444
1529776,2,Profesionales Dormidos,0.9417087
1545066,2,Profesionales Dormidos,0.9410563
1548041,2,Profesionales Dormidos,0.94100225
1543090,2,Profesionales Dormidos,0.939982
1547292,2,Profesionales Dormidos,0.9396842
1545684,2,Profesionales Dormidos,0.939566
1250361,2,Profesionales Dormidos,0.9394929
1544966,2,Profesionales Dormidos,0.93845195
1546184,2,Profesionales Dormidos,0.93834066
1547254,2,Profesionales Dormidos,0.9380909
1545110,2,Profesionales Dormidos,0.9380239
1544582,2,Profesionales Dormidos,0.937227
1544320,2,Profesionales Dormidos,0.9372072
1538052,2,Profesionales Dormidos,0.93583333
1544314,2,Profesionales Dormidos,0.9354128
1547547,2,Profesionales Dormidos,0.93515503
1543826,2,Profesionales Dormidos,0.9350693
1547082,2,Profesionales Dormidos,0.9348643
1546846,2,Profesionales Dormidos,0.9341817
1544980,2,Profesionales Dormidos,0.93413013
1545766,2,Profesionales Dormidos,0.9339403
1525089,2,Profesionales Dormidos,0.933565
1545866,2,Profesionales Dormidos,0.93338466
881949,2,Profesionales Dormidos,0.9326472
1545208,2,Profesionales Dormidos,0.9315395
1545836,2,Profesionales Dormidos,0.9315395
1546068,2,Profesionales Dormidos,0.9313089
1543250,2,Profesionales Dormidos,0.9303726
1543306,2,Profesionales Dormidos,0.9301369
1532924,2,Profesionales Dormidos,0.92999697
1536861,2,Profesionales Dormidos,0.92912257
1544138,2,Profesionales Dormidos,0.9290278
1543580,2,Profesionales Dormidos,0.92868704
1544747,2,Profesionales Dormidos,0.92867446
1548000,2,Profesionales Dormidos,0.9284052
1544634,2,Profesionales Dormidos,0.92746735
1545542,2,Profesionales Dormidos,0.92731935
1534762,2,Profesionales Dormidos,0.92719024
1538846,2,Profesionales Dormidos,0.9264395
1539552,2,Profesionales Dormidos,0.9264395
1545556,2,Profesionales Dormidos,0.9260876
1548179,2,Profesionales Dormidos,0.92575496
1538097,2,Profesionales Dormidos,0.92545813
1545742,2,Profesionales Dormidos,0.92543304
1545090,2,Profesionales Dormidos,0.92467517
1090814,3,Activos Multi-producto,0.9955179
1548297,3,Activos Multi-producto,0.9924102
1551017,3,Activos Multi-producto,0.9914273
1549234,3,Activos Multi-producto,0.98681414
1549097,3,Activos Multi-producto,0.9860767
1553303,3,Activos Multi-producto,0.9860482
1549759,3,Activos Multi-producto,0.98577625
1550051,3,Activos Multi-producto,0.9852105
1541781,3,Activos Multi-producto,0.9836105
1550254,3,Activos Multi-producto,0.9835662
1550591,3,Activos Multi-producto,0.98286784
1550839,3,Activos Multi-producto,0.98252845
1551373,3,Activos Multi-producto,0.982252
1548543,3,Activos Multi-producto,0.9809136
1548860,3,Activos Multi-producto,0.9809136
1550308,3,Activos Multi-producto,0.98087114
1549919,3,Activos Multi-producto,0.98059696
1540249,3,Activos Multi-producto,0.97996557
1540277,3,Activos Multi-producto,0.97982603
1549901,3,Activos Multi-producto,0.9793914
1549148,3,Activos Multi-producto,0.97891164
1550525,3,Activos Multi-producto,0.9781083
1550888,3,Activos Multi-producto,0.9779695
1462064,3,Activos Multi-producto,0.9776895
1550066,3,Activos Multi-producto,0.9772993
1552556,3,Activos Multi-producto,0.9772993
1550637,3,Activos Multi-producto,0.9772864
1390124,3,Activos Multi-producto,0.9768877
1548407,3,Activos Multi-producto,0.976549
1548760,3,Activos Multi-producto,0.9758
1549310,3,Activos Multi-producto,0.9754523
1549459,3,Activos Multi-producto,0.9754523
1548566,3,Activos Multi-producto,0.97536206
1550570,3,Activos Multi-producto,0.9747659
1550771,3,Activos Multi-producto,0.97420204
1548896,3,Activos Multi-producto,0.9740844
1550747,3,Activos Multi-producto,0.9735754
1550703,3,Activos Multi-producto,0.9734744
1548727,3,Activos Multi-producto,0.9731791
1548467,3,Activos Multi-producto,0.97289586
1548720,3,Activos Multi-producto,0.97289586
1550351,3,Activos Multi-producto,0.9723963
1549559,3,Activos Multi-producto,0.9717022
1549363,3,Activos Multi-producto,0.97122765
1551815,3,Activos Multi-producto,0.97106284
1530413,3,Activos Multi-producto,0.97085595
1552614,3,Activos Multi-producto,0.97069407
1551789,3,Activos Multi-producto,0.9702326
1504931,3,Activos Multi-producto,0.9701961
1548648,3,Activos Multi-producto,0.9698695
1550884,3,Activos Multi-producto,0.9698075
1551270,3,Activos Multi-producto,0.9698075
1548914,3,Activos Multi-producto,0.96944773
1549592,3,Activos Multi-producto,0.968653
1550614,3,Activos Multi-producto,0.968653
1547650,3,Activos Multi-producto,0.9685255
1549876,3,Activos Multi-producto,0.9685019
1548643,3,Activos Multi-producto,0.96827656
1552192,3,Activos Multi-producto,0.9682436
1549816,3,Activos Multi-producto,0.96799076
1551159,3,Activos Multi-producto,0.96682936
1550596,3,Activos Multi-producto,0.9667045
1551786,3,Activos Multi-producto,0.96590847
1549056,3,Activos Multi-producto,0.9657427
1549690,3,Activos Multi-producto,0.9642311
1551475,3,Activos Multi-producto,0.9632664
1548500,3,Activos Multi-producto,0.9631539
882865,3,Activos Multi-producto,0.9631018
1548473,3,Activos Multi-producto,0.9625593
1547938,3,Activos Multi-producto,0.9619906
1549393,3,Activos Multi-producto,0.9617927
1550677,3,Activos Multi-producto,0.9614446
1550782,3,Activos Multi-producto,0.9614446
1549528,3,Activos Multi-producto,0.96142113
1549488,3,Activos Multi-producto,0.96134436
1549151,3,Activos Multi-producto,0.9608508
1547645,3,Activos Multi-producto,0.9607462
1549817,3,Activos Multi-producto,0.9602655
1549083,3,Activos Multi-producto,0.9599143
1551298,3,Activos Multi-producto,0.9599037
1548391,3,Activos Multi-producto,0.9598948
1551413,3,Activos Multi-producto,0.9598567
1551694,3,Activos Multi-producto,0.9598567
1549163,3,Activos Multi-producto,0.959667
1550540,3,Activos Multi-producto,0.959667
1543935,3,Activos Multi-producto,0.95831025
1548485,3,Activos Multi-producto,0.95822847
1548711,3,Activos Multi-producto,0.9578134
1552583,3,Activos Multi-producto,0.9567308
1549357,3,Activos Multi-producto,0.95671934
1545535,3,Activos Multi-producto,0.95648843
1552371,3,Activos Multi-producto,0.9562001
1548225,3,Activos Multi-producto,0.9555216
1550697,3,Activos Multi-producto,0.9551235
1548345,3,Activos Multi-producto,0.9550115
1547366,3,Activos Multi-producto,0.954291
1549913,3,Activos Multi-producto,0.9540772
1531336,3,Activos Multi-producto,0.95343566
1549182,3,Activos Multi-producto,0.9530146
1549147,3,Activos Multi-producto,0.9520734
1551424,4,Universitarios Estándar,0.99454206
1548966,4,Universitarios Estándar,0.99359596
