pk_cid,cluster,cluster_name,propensity_pension
1551424,1,Universitarios Estándar,0.99454206
1548966,1,Universitarios Estándar,0.99359596
1548261,1,Universitarios Estándar,0.99267673
1549070,1,Universitarios Estándar,0.98818946
1549728,1,Universitarios Estándar,0.98721516
1309665,1,Universitarios Estándar,0.9843573
1549166,1,Universitarios Estándar,0.9834858
1549964,1,Universitarios Estándar,0.98245746
1551322,1,Universitarios Estándar,0.98076284
1550034,1,Universitarios Estándar,0.9804155
1549900,1,Universitarios Estándar,0.97958094
1550196,1,Universitarios Estándar,0.97958094
1552028,1,Universitarios Estándar,0.97958094
1543962,1,Universitarios Estándar,0.9795176
1549794,1,Universitarios Estándar,0.979067
1551962,1,Universitarios Estándar,0.979067
1552908,1,Universitarios Estándar,0.97866243
1549639,1,Universitarios Estándar,0.9783545
1551548,1,Universitarios Estándar,0.9783545
1551053,1,Universitarios Estándar,0.9782103
1549012,1,Universitarios Estándar,0.9781326
1550956,1,Universitarios Estándar,0.9776169
1548456,1,Universitarios Estándar,0.9768538
1550860,1,Universitarios Estándar,0.97683597
1547570,1,Universitarios Estándar,0.97670346
1550372,1,Universitarios Estándar,0.97634137
1551120,1,Universitarios Estándar,0.976168
1550369,1,Universitarios Estándar,0.9760231
1548243,1,Universitarios Estándar,0.9758875
1552154,1,Universitarios Estándar,0.97431266
1551509,1,Universitarios Estándar,0.9743016
1549581,1,Universitarios Estándar,0.9742852
1551532,1,Universitarios Estándar,0.9738229
1550970,1,Universitarios Estándar,0.97311527
1548339,1,Universitarios Estándar,0.9729806
1550238,1,Universitarios Estándar,0.9726776
1548712,1,Universitarios Estándar,0.9726336
1548491,1,Universitarios Estándar,0.97213024
1550894,1,Universitarios Estándar,0.9720223
1549874,1,Universitarios Estándar,0.97167194
1549679,1,Universitarios Estándar,0.97145385
1551162,1,Universitarios Estándar,0.97145385
1550741,1,Universitarios Estándar,0.9711236
422761,1,Universitarios Estándar,0.97111106
1550446,1,Universitarios Estándar,0.97000283
1549397,1,Universitarios Estándar,0.96923894
1551210,1,Universitarios Estándar,0.96878976
1552549,1,Universitarios Estándar,0.9684932
1530092,1,Universitarios Estándar,0.96833515
1552137,1,Universitarios Estándar,0.96811867
1550583,1,Universitarios Estándar,0.9680829
1549394,1,Universitarios Estándar,0.9679068
1549008,1,Universitarios Estándar,0.96729624
1548617,1,Universitarios Estándar,0.96720123
1549322,1,Universitarios Estándar,0.9669339
1549362,1,Universitarios Estándar,0.96667403
1550182,1,Universitarios Estándar,0.96655744
1549013,1,Universitarios Estándar,0.9650574
1551333,1,Universitarios Estándar,0.9641783
1550892,1,Universitarios Estándar,0.9632136
1549042,1,Universitarios Estándar,0.9627345
1549943,1,Universitarios Estándar,0.96249104
1551745,1,Universitarios Estándar,0.96245337
1551562,1,Universitarios Estándar,0.96242964
1552008,1,Universitarios Estándar,0.96211916
1551638,1,Universitarios Estándar,0.9621158
1552911,1,Universitarios Estándar,0.9621158
1532211,1,Universitarios Estándar,0.96191394
1550830,1,Universitarios Estándar,0.9615213
1550519,1,Universitarios Estándar,0.9612411
1550398,1,Universitarios Estándar,0.9608068
1550649,1,Universitarios Estándar,0.96068126
1550493,1,Universitarios Estándar,0.9606656
1552730,1,Universitarios Estándar,0.960381
1550751,1,Universitarios Estándar,0.95997375
1549911,1,Universitarios Estándar,0.9597145
1550283,1,Universitarios Estándar,0.95968914
1551445,1,Universitarios Estándar,0.9587649
1552517,1,Universitarios Estándar,0.9587649
1550445,1,Universitarios Estándar,0.9575686
1549421,1,Universitarios Estándar,0.95750684
